Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
43,Courtland Sutton (DEN),64.00,109.00,829.00,13.00,51.00,18.00,2.00,1.00,5.00, -   , -   ,15.00,159.40,10.60,81%
44,Marquise Brown (ARI),67.00,107.00,709.00,10.60,47.00,11.00,3.00,1.00,1.00, -   , -   ,12.00,156.00,13.00,92%
45,K.J. Osborn (MIN),60.00,90.00,650.00,10.80,66.00,13.00,5.00,3.00,6.00, -   , -   ,17.00,155.60,9.20,59%
46,Mack Hollins (ATL),57.00,94.00,690.00,12.10,60.00,15.00,4.00,4.00,40.00, -   , -   ,17.00,154.20,9.10,1%
47,DeAndre Hopkins (TEN),64.00,96.00,717.00,11.20,33.00,10.00,3.00, -   , -   , -   ,1.00,9.00,151.70,16.90,93%
48,Parris Campbell (NYG),63.00,91.00,623.00,9.90,49.00,13.00,3.00,5.00,58.00, -   , -   ,17.00,149.10,8.80,4%
49,Brandin Cooks (DAL),57.00,93.00,699.00,12.30,44.00,22.00,3.00,2.00,7.00, -   , -   ,13.00,145.60,11.20,45%
50,Richie James Jr. (KC),57.00,70.00,569.00,10.00,33.00,4.00,4.00,2.00,6.00, -   ,3.00,16.00,132.50,8.30,0%
51,Jahan Dotson (WAS),35.00,61.00,523.00,14.90,61.00,17.00,7.00,2.00,-7.00, -   , -   ,12.00,130.60,10.90,52%
52,Darius Slayton (NYG),46.00,71.00,724.00,15.70,55.00,24.00,2.00, -   , -   , -   ,1.00,13.00,128.40,9.90,3%
53,Russell Gage (TB),51.00,70.00,426.00,8.40,23.00,3.00,5.00, -   , -   , -   ,1.00,13.00,123.60,9.50,0%
54,Marquez Valdes-Scantling (KC),42.00,81.00,687.00,16.40,57.00,22.00,2.00,1.00,-3.00, -   , -   ,17.00,122.40,7.20,5%
55,Isaiah McKenzie (IND),42.00,66.00,423.00,10.10,30.00,5.00,4.00,9.00,55.00,1.00, -   ,16.00,119.80,7.50,0%
56,Marvin Jones Jr. (FA),46.00,81.00,529.00,11.50,37.00,8.00,3.00, -   , -   , -   , -   ,16.00,116.90,7.30,1%
57,Kalif Raymond (DET),47.00,64.00,616.00,13.10,56.00,17.00, -   ,7.00,36.00, -   ,1.00,17.00,116.20,6.80,2%
58,Devin Duvernay (BAL),37.00,49.00,407.00,11.00,31.00,7.00,3.00,12.00,84.00,1.00, -   ,14.00,116.10,8.30,1%
