Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
191,Andy Isabella (BUF),2.00,5.00,21.00,10.50,11.00, -   , -   ,1.00,1.00, -   , -   ,4.00,4.20,1.10,0%
192,Cade Johnson (SEA),2.00,4.00,21.00,10.50,11.00, -   , -   , -   , -   , -   , -   ,2.00,4.10,2.10,0%
193,Pharoh Cooper (FA),2.00,2.00,6.00,3.00,3.00, -   , -   ,4.00,15.00, -   , -   ,5.00,4.10,0.80,0%
194,Lil'Jordan Humphrey (DEN),2.00,4.00,20.00,10.00,11.00, -   , -   , -   , -   , -   , -   ,4.00,4.00,1.00,0%
195,Keith Kirkwood (NO),2.00,4.00,18.00,9.00,14.00, -   , -   , -   , -   , -   , -   ,3.00,3.80,1.30,0%
196,Dennis Houston (FA),2.00,6.00,16.00,8.00,11.00, -   , -   , -   , -   , -   , -   ,2.00,3.60,1.80,0%
197,Quintez Cephus (DET),2.00,3.00,15.00,7.50,9.00, -   , -   , -   , -   , -   , -   ,3.00,3.50,1.20,0%
198,Nsimba Webster (CHI),2.00,3.00,14.00,7.00,8.00, -   , -   , -   , -   , -   , -   ,1.00,3.40,3.40,0%
199,Austin Trammell (LAR),2.00,4.00,13.00,6.50,8.00, -   , -   , -   , -   , -   , -   ,2.00,3.30,1.70,0%
200,Jalen Tolbert (DAL),2.00,3.00,12.00,6.00,8.00, -   , -   , -   , -   , -   , -   ,3.00,3.20,1.10,0%
201,Miles Boykin (PIT),2.00,3.00,11.00,5.50,11.00, -   , -   , -   , -   , -   , -   ,10.00,3.10,0.30,0%
202,Danny Gray (SF),1.00,7.00,10.00,10.00,10.00, -   , -   ,1.00,9.00, -   , -   ,7.00,2.90,0.40,0%
203,Juwann Winfree (IND),1.00,4.00,17.00,17.00,17.00, -   , -   , -   , -   , -   , -   ,3.00,2.70,0.90,0%
204,DJ Turner (LV), -   ,1.00, -   , -   , -   , -   , -   ,4.00,26.00, -   , -   ,6.00,2.60,0.40,0%
205,Frank Darby (ATL),1.00,1.00,15.00,15.00,15.00, -   , -   , -   , -   , -   , -   ,1.00,2.50,2.50,0%
206,Tyron Johnson (DAL),1.00,1.00,8.00,8.00,8.00, -   , -   , -   , -   , -   , -   ,2.00,1.80,0.90,0%
207,Braylon Sanders (MIA),2.00,3.00,17.00,8.50,13.00, -   , -   , -   , -   , -   ,1.00,2.00,1.70,0.90,0%
208,Maurice Alexander (DET),1.00,1.00,7.00,7.00,7.00, -   , -   , -   , -   , -   , -   ,3.00,1.70,0.60,0%
209,Jalen Camp (FA),1.00,1.00,7.00,7.00,7.00, -   , -   , -   , -   , -   , -   ,1.00,1.70,1.70,0%
210,C.J. Board (FA),1.00,1.00,6.00,6.00,6.00, -   , -   , -   , -   , -   , -   ,4.00,1.60,0.40,0%
211,Jason Moore Jr. (FA),1.00,2.00,5.00,5.00,5.00, -   , -   , -   , -   , -   , -   ,1.00,1.50,1.50,0%
212,Deonte Harty (BUF),2.00,2.00,13.00,6.50,9.00, -   , -   , -   , -   , -   ,1.00,4.00,1.30,0.30,0%
213,Mason Kinsey (TEN),1.00,1.00,3.00,3.00,3.00, -   , -   , -   , -   , -   , -   ,2.00,1.30,0.70,0%
214,Erik Ezukanma (MIA),1.00,1.00,3.00,3.00,3.00, -   , -   , -   , -   , -   , -   ,1.00,1.30,1.30,0%
215,Cody White (FA),1.00,1.00,2.00,2.00,2.00, -   , -   , -   , -   , -   , -   ,1.00,1.20,1.20,0%
216,Keke Coutee (FA),1.00,1.00,20.00,20.00,20.00,1.00, -   , -   , -   , -   ,1.00,7.00,1.00,0.10,0%
217,Ihmir Smith-Marsette (CAR),1.00,4.00,15.00,15.00,15.00, -   , -   ,1.00,-1.00, -   ,1.00,4.00,0.40,0.10,0%
218,Malik Turner (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2.00, -   , -   ,0%
219,Kirk Merritt (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
220,Justyn Ross (KC), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2.00, -   , -   ,1%
221,Alex Bachman (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
222,Trinity Benson (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
223,Binjimen Victor (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
224,Cody Thompson (SEA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
225,Stanley Morgan Jr. (CIN), -   ,1.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,9.00, -   , -   ,0%
226,Dan Chisena (MIN), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2.00, -   , -   ,0%
227,Quinton Bell (MIA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3.00, -   , -   ,0%
228,Josh Ali (ATL), -   ,1.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
229,Lance McCutcheon (NYJ), -   ,5.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,4.00, -   , -   ,0%
230,Raleigh Webb (MIA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3.00, -   , -   ,0%
231,Chris Pierce Jr. (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
232,Britain Covey (PHI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17.00, -   , -   ,0%
233,Emeka Emezie (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
234,Stanley Berryhill III (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
235,Tay Martin (SF), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
236,Jacob Harris (JAC),1.00,1.00,6.00,6.00,6.00, -   , -   , -   , -   , -   , -   ,3.00, -   , -   ,0%
237,Josh Gordon (FA), -   ,1.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
238,Albert Wilson (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3.00, -   , -   ,0%
239,Matthew Slater (NE), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8.00, -   , -   ,0%
240,Andre Roberts (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3.00, -   , -   ,0%
241,Tanner Gentry (FA), -   ,1.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
242,Justin Hardee (NYJ), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12.00, -   , -   ,0%
243,Marcus Kemp (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2.00, -   , -   ,0%
244,Marken Michel (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
245,James Washington (FA), -   ,1.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
246,Brandon Zylstra (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2.00, -   , -   ,0%
247,Ty Montgomery II (NE),3.00,4.00,15.00,5.00,7.00, -   ,1.00,2.00,-2.00, -   , -   ,1.00, -   , -   ,0%
248,Alex Erickson (LAC), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2.00, -   , -   ,0%
249,Rashard Higgins (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00, -   , -   ,0%
250,KaVontae Turpin (DAL),1.00,2.00,9.00,9.00,9.00, -   , -   ,3.00,17.00, -   ,2.00,17.00,-0.40, -   ,0%
251,Chester Rogers (FA), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.00,3.00,-2.00,-0.70,0%
