player_id,player,position,team,bye,injury,adp,sleeper_points,sleeper_ppg_17,independent_points,independent_ppg,independent_expected_points,projected_games,projection_gap,decision_points,decision_ppg_17,independent_weight,confidence,model_source,reason,team_pass_rank,team_rush_rank,team_pass_rate,own_pass_attempts,sleeper_pass_attempts,own_targets,sleeper_targets,own_carries,sleeper_carries,latest_history_season,latest_history_games,latest_history_ppg,targets_pg,receptions_pg,rec_yards_pg,rec_tds_pg,carries_pg,rush_yards_pg,rush_tds_pg,component_ppg,pass_attempts_pg,completions_pg,pass_yards_pg,pass_tds_pg,interceptions_pg
12483,Jack Bech,WR,LV,13,,238.2,78.0,4.59,102.4,6.02,60.2,10.0,24.4,90.2,5.31,0.5,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #15, rush volume #32",15,32,0.606,,,62.4,,1.8,1.0,2025.0,14.0,3.03,3.669,2.149,27.828,0.151,0.105,0.632,0.003,5.92,,,,,
13317,Ted Hurst,WR,TB,10,,239.6,98.0,5.76,113.0,6.65,66.2,10.0,15.0,101.7,5.99,0.25,Low,rookie,"Rookie model: pick 84, age and destination-team environment; team pass volume #12, rush volume #11",12,11,0.562,,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,
13349,Eli Stowers,TE,PHI,10,,239.6,81.0,4.76,111.2,6.54,78.1,11.9,30.2,88.5,5.21,0.25,Low,rookie,"Rookie model: pick 54, age and destination-team environment; team pass volume #31, rush volume #2",31,2,0.515,,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,
11834,Devaughn Vele,WR,NO,8,,239.8,111.0,6.53,115.5,6.8,60.5,8.9,4.5,113.3,6.66,0.5,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #8, rush volume #22",8,22,0.58,,,66.3,,0.8,1.0,2025.0,9.0,7.37,3.897,2.477,30.859,0.188,0.047,0.28,0.003,6.737,,,,,
7600,Pat Freiermuth,TE,PIT,9,,239.9,128.0,7.53,126.8,7.46,96.4,12.9,-1.2,127.2,7.48,0.65,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #24, rush volume #18",24,18,0.556,,,69.8,,0.3,,2025.0,15.0,7.57,4.109,2.908,31.828,0.23,0.016,0.043,0.001,7.482,,,,,
13405,Kaytron Allen,RB,WAS,7,,240.6,46.0,2.71,78.4,4.61,40.9,8.9,32.4,54.1,3.18,0.25,Low,rookie,"Rookie model: pick 187, age and destination-team environment; team pass volume #29, rush volume #8",29,8,0.542,,,0.0,,0.0,53.0,,,,,,,,,,,,,,,,
11569,Jarquez Hunter,RB,LAR,11,,240.6,10.0,0.59,10.0,0.59,10.0,17.0,0.0,10.0,0.59,0.0,Low,unmodeled,"No reliable NFLverse player match; Sleeper only; team pass volume #7, rush volume #14",7,14,0.568,,,0.0,,0.0,15.0,,,,,,,,,,,,,,,,
13311,Chris Bell,WR,MIA,6,Ques,240.9,67.0,3.94,115.5,6.79,63.2,9.3,48.5,79.1,4.65,0.25,Low,rookie,"Rookie model: pick 94, age and destination-team environment; team pass volume #25, rush volume #24",25,24,0.561,,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,
11647,Kimani Vidal,RB,LAC,7,,241.3,60.0,3.53,140.2,8.25,91.2,11.1,80.2,112.1,6.6,0.65,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #14, rush volume #16",14,16,0.569,,,32.3,,157.4,60.0,2025.0,13.0,9.07,1.9,1.46,10.736,0.051,9.259,38.143,0.267,8.256,,,,,
8698,Jake Tonges,TE,SF,8,,241.4,71.0,4.18,82.7,4.87,50.2,10.3,11.7,76.9,4.52,0.5,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #16, rush volume #9",16,9,0.551,,,51.2,,0.7,,2025.0,10.0,9.33,3.013,2.085,20.392,0.193,0.044,0.208,0.003,5.32,,,,,
12499,Elic Ayomanor,WR,TEN,9,,241.5,57.0,3.35,140.4,8.26,99.5,12.0,83.4,98.7,5.81,0.5,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #18, rush volume #30",18,30,0.589,,,87.7,,1.3,,2025.0,16.0,7.28,5.159,3.001,38.529,0.222,0.076,0.475,0.003,8.255,,,,,
4950,Christian Kirk,WR,SF,8,Ques,241.7,46.0,2.71,81.3,4.78,43.4,9.1,35.3,63.7,3.75,0.5,Medium,veteran,"Veteran model: 2025 form, prior-year trend and new team pass/run forecast; team pass volume #16, rush volume #9",16,9,0.551,,,51.9,,0.5,1.0,2025.0,11.0,5.26,3.054,1.785,21.604,0.136,0.029,0.216,0.003,4.798,,,,,
11627,Troy Franklin,WR,DEN,10,,241.8,66.0,3.88,158.3,9.31,127.2,13.7,92.3,126.0,7.41,0.65,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #6, rush volume #19",6,19,0.57,,,90.9,,3.9,2.0,2025.0,17.0,10.42,5.346,3.342,41.565,0.268,0.23,1.227,0.009,9.281,,,,,
13275,Ty Simpson,QB,LAR,11,,241.8,14.0,0.82,235.2,13.83,85.8,6.2,221.2,69.3,4.08,0.25,Low,rookie,"Rookie model: pick 13, age and destination-team environment; team pass volume #7, rush volume #14",7,14,0.568,0.0,32.0,,,0.0,5.0,,,,,,,,,,,,,,,,
13347,Demond Claiborne,RB,MIN,6,,242.0,25.0,1.47,82.0,4.82,37.5,7.8,57.0,39.2,2.31,0.25,Low,rookie,"Rookie model: pick 198, age and destination-team environment; team pass volume #26, rush volume #27",26,27,0.575,,,0.0,,0.0,29.0,,,,,,,,,,,,,,,,
