position,season,model,players,mae,rank_correlation
QB,2021,team_model_ppg,39,3.4214757672465193,0.7732793522267207
QB,2021,player_only_ppg,39,3.4820778546863997,0.7653846153846154
QB,2021,prior_year_ppg,39,4.057011159529259,0.7400809716599192
QB,2022,team_model_ppg,43,3.2567131266757405,0.663092721232256
QB,2022,player_only_ppg,43,3.305897454406964,0.6466324373301118
QB,2022,prior_year_ppg,43,3.4541106117624585,0.6467834491090305
QB,2023,team_model_ppg,42,3.983000987617146,0.53763876509197
QB,2023,player_only_ppg,42,4.0164960849103135,0.5394214407260352
QB,2023,prior_year_ppg,42,4.589875357757711,0.4724900737379467
QB,2024,team_model_ppg,45,3.5304888998072865,0.7588932806324109
QB,2024,player_only_ppg,45,3.5072313151707775,0.7461133069828721
QB,2024,prior_year_ppg,45,4.216260951974677,0.6412384716732541
QB,2025,team_model_ppg,45,3.583860256857716,0.6963109354413701
QB,2025,player_only_ppg,45,3.535129063108842,0.7018445322793149
QB,2025,prior_year_ppg,45,4.096340882646765,0.6276679841897232
RB,2021,team_model_ppg,97,2.7275765675584367,0.7397571904669252
RB,2021,player_only_ppg,97,2.7108800930498753,0.7391654530930926
RB,2021,prior_year_ppg,97,3.312424780680541,0.7137667700362572
RB,2022,team_model_ppg,97,2.8181941979974696,0.7839902692565653
RB,2022,player_only_ppg,97,2.76447450995135,0.7898878990275597
RB,2022,prior_year_ppg,97,2.992726175263319,0.799312258439043
RB,2023,team_model_ppg,90,2.913255008877118,0.7628133630280808
RB,2023,player_only_ppg,90,2.898774906408168,0.7621630743081151
RB,2023,prior_year_ppg,90,3.283192991286128,0.7019965674410296
RB,2024,team_model_ppg,88,2.8665748293737536,0.824604736565073
RB,2024,player_only_ppg,88,2.883369106507137,0.8210824780929065
RB,2024,prior_year_ppg,88,2.7791746638128654,0.8038137421519334
RB,2025,team_model_ppg,91,2.763410974198597,0.8294221167814873
RB,2025,player_only_ppg,91,2.7441619485156106,0.8334514528967298
RB,2025,prior_year_ppg,91,2.7324526156168045,0.8116954733557731
TE,2021,team_model_ppg,75,1.9799771093393235,0.7309492312152216
TE,2021,player_only_ppg,75,1.963035172046361,0.7377203090406268
TE,2021,prior_year_ppg,75,1.8844931287231286,0.7658911641267148
TE,2022,team_model_ppg,82,1.87091691498697,0.7366318747051538
TE,2022,player_only_ppg,82,2.184256987226641,0.7081596449179361
TE,2022,prior_year_ppg,82,1.72173471047126,0.7410438786993003
TE,2023,team_model_ppg,75,1.810435087882975,0.7951635846372688
TE,2023,player_only_ppg,75,1.7925373355763532,0.8009672830725462
TE,2023,prior_year_ppg,75,1.8160914487473312,0.773063819819125
TE,2024,team_model_ppg,79,1.9066241021526185,0.7242940603700098
TE,2024,player_only_ppg,79,1.9035760274576987,0.7266309639727361
TE,2024,prior_year_ppg,79,2.016432969281071,0.7129746835443038
TE,2025,team_model_ppg,89,1.8997227273084476,0.8026046986721146
TE,2025,player_only_ppg,89,1.782719247521785,0.8038815117466804
TE,2025,prior_year_ppg,89,2.041389784849798,0.7760162411384599
WR,2021,team_model_ppg,151,2.521874652055335,0.780907516870969
WR,2021,player_only_ppg,151,2.5280594892202695,0.7828123733837054
WR,2021,prior_year_ppg,151,2.8194335222951317,0.7655818930690863
WR,2022,team_model_ppg,152,2.4782060836482875,0.7764035911295891
WR,2022,player_only_ppg,152,2.466618109060982,0.7747821325173624
WR,2022,prior_year_ppg,152,2.6982946712622597,0.7545237629661039
WR,2023,team_model_ppg,143,2.4596871437091448,0.8178454833718978
WR,2023,player_only_ppg,143,2.5092952954274654,0.8135096924745734
WR,2023,prior_year_ppg,143,2.7455431756529047,0.7703259644292508
WR,2024,team_model_ppg,150,2.771980532692901,0.7734612930219303
WR,2024,player_only_ppg,150,2.759273775988697,0.7739466531040248
WR,2024,prior_year_ppg,150,3.142051982364041,0.7462595550279463
WR,2025,team_model_ppg,155,2.128082650057875,0.8483757682887434
WR,2025,player_only_ppg,155,2.167744909308806,0.8502001231042041
WR,2025,prior_year_ppg,155,2.5662435482501893,0.817269230016046
