model_rank,independent_rank,adp,market_gap,independent_market_gap,round,player,position,position_rank,adp_position_rank,adp_position_label,decision_position_label,team,bye,injury,tier,signal,projected_points,projected_ppg_17,independent_points,independent_ppg,independent_expected_points,sleeper_projected_points,sleeper_ppg_17,projection_gap,projected_games,confidence,model_source,reason,team_pass_rank,team_rush_rank,team_pass_rate,own_pass_attempts,sleeper_pass_attempts,own_targets,sleeper_targets,own_carries,sleeper_carries,vbd,independent_vbd,games_2025,points_2025,ppg_2025,rank_2025,player_id,rush_attempts,rush_yards,rush_touchdowns,receptions,targets,receiving_yards,receiving_touchdowns,completions,pass_attempts,pass_yards,pass_touchdowns
229,218,226.3,-2.7,8.3,19,Brashard Smith,RB,63,65,RB 65,RB 63,KC,5,,Depth,Depth,63.7,3.7,107.5,6.32,71.7,20.0,1.18,87.5,11.3,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #5, rush volume #25",5,25,0.589,,,37.2,,82.6,16.0,-75.7,-48.9,17,63.3,3.7,62,12455,16.0,67.0,1.0,4.0,,32.0,,,,,
171,146,227.9,56.9,81.9,19,Aaron Rodgers,QB,28,28,QB 28,QB 28,PIT,9,,Depth,Depth,221.9,13.1,246.1,14.48,154.6,177.0,10.41,69.1,10.7,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #24, rush volume #18",24,18,0.556,549.6,403.0,,,23.6,21.0,-40.5,-22.7,16,234.2,14.6,18,96,21.0,60.0,,,,,,261.0,403.0,2700.0,18.0
232,213,227.9,-4.1,14.9,19,Michael Penix,QB,30,29,QB 29,QB 30,ATL,11,Ques,Depth,Depth,155.4,9.1,202.8,11.93,123.0,108.0,6.35,94.8,10.3,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #17, rush volume #5",17,5,0.545,444.9,221.0,,,45.1,20.0,-79.2,-48.1,9,123.2,13.7,33,11559,20.0,67.0,1.0,,,,,137.0,221.0,1567.0,10.0
192,189,228.3,36.3,39.3,20,Pat Bryant,WR,78,80,WR 80,WR 78,DEN,10,,Depth,Depth,107.9,6.3,119.8,7.05,77.3,96.0,5.65,23.8,11.0,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #6, rush volume #19",6,19,0.57,,,70.9,,1.8,2.0,-47.8,-39.0,15,74.8,5.0,85,12492,2.0,9.0,,35.0,,425.0,3.0,,,,
195,196,228.7,33.7,32.7,20,Tory Horton,WR,82,81,WR 81,WR 82,SEA,11,Ques,Depth,Depth,102.7,6.0,113.4,6.67,70.3,92.0,5.41,21.4,10.5,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #23, rush volume #21",23,21,0.557,,,65.5,,0.9,1.0,-48.9,-41.2,8,65.1,8.1,96,12497,1.0,9.0,,31.0,,421.0,3.0,,,,
217,223,229.2,12.2,6.2,20,Elijah Sarratt,WR,94,82,WR 82,WR 94,BAL,13,,Depth,Depth,65.7,3.9,79.8,4.69,42.2,61.0,3.59,18.8,9.0,Low,rookie,"Rookie model: pick 115, age and destination-team environment; team pass volume #32, rush volume #1",32,1,0.497,,,0.0,,0.0,1.0,-61.5,-53.1,,,,,13268,1.0,4.0,,22.0,,270.0,2.0,,,,
199,184,229.4,30.4,45.4,20,Chimere Dike,WR,76,83,WR 83,WR 76,TEN,9,,Depth,Depth,108.5,6.4,128.1,7.53,91.5,89.0,5.24,39.1,12.1,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #18, rush volume #30",18,30,0.589,,,77.1,,5.3,6.0,-52.2,-37.0,17,126.1,7.4,50,12540,6.0,30.0,,38.0,,384.0,2.0,,,,
155,159,229.7,74.7,70.7,20,Bryce Young,QB,25,30,QB 30,QB 25,CAR,5,,Depth,Depth,243.1,14.3,246.9,14.52,177.9,236.0,13.88,10.9,12.3,High,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #22, rush volume #23",22,23,0.564,508.1,493.0,,,57.1,51.0,-31.2,-25.5,16,229.0,14.3,19,9228,51.0,245.0,3.0,,,,,311.0,493.0,3202.0,20.0
150,176,230.4,80.4,54.4,20,Greg Dulcich,TE,29,29,TE 29,TE 29,MIA,6,,Depth,Depth,106.9,6.3,102.8,6.05,63.7,111.0,6.53,-8.2,10.5,Medium,veteran,"Veteran model: 2025 form, prior-year trend and same team pass/run forecast; team pass volume #25, rush volume #24",25,24,0.561,,,56.8,,0.0,,-28.6,-34.7,10,62.8,6.3,43,8172,,,,47.0,,459.0,3.0,,,,
187,164,230.8,43.8,66.8,20,Germie Bernard,WR,77,84,WR 84,WR 77,PIT,9,,Depth,Depth,108.1,6.4,135.2,7.95,85.7,99.0,5.82,36.2,10.8,Low,rookie,"Rookie model: pick 47, age and destination-team environment; team pass volume #24, rush volume #18",24,18,0.556,,,0.0,,0.0,2.0,-46.8,-28.5,,,,,13274,2.0,10.0,,36.0,,439.0,3.0,,,,
